,Genero,Artista,Titulo,longitud_cancion,diversidad_lexica,verbos_unicos,adjetivos_unicos,sustantivos_unicos
48,pop,Shakira,Quince Años,68.0,0.5588,0.2206,0.1029,0.2206
49,pop,Shakira,Antes de Las Seis,66.0,0.6818,0.197,0.1212,0.2121
50,pop,Juanes,Es Por Ti,85.0,0.3765,0.1294,0.0941,0.0941
51,pop,Juanes,La Camisa Negra,135.0,0.437,0.1481,0.0889,0.1556
52,pop,Juanes,Somos El Mundo (We Are The World),238.0,0.4748,0.1807,0.0882,0.1387
53,pop,Juanes,A Dios Le Pido,130.0,0.3,0.1154,0.0077,0.1231
54,pop,Juanes,Para Tu Amor,74.0,0.3919,0.1216,0.027,0.1081
55,pop,Juanes,La Tierra,93.0,0.3011,0.0968,0.0323,0.1613
56,pop,Juanes,La Luz,104.0,0.3558,0.1442,0.0577,0.1154
57,pop,Juanes,Nada Valgo Sin Tu Amor,105.0,0.4476,0.1238,0.0952,0.1524
58,pop,Juanes,Me Enamora,93.0,0.4946,0.172,0.0538,0.172
59,pop,Juanes,Mis Planes Son Amarte,109.0,0.4312,0.156,0.0734,0.1651
60,pop,Juanes,Himno Antioqueño,67.0,0.4179,0.1045,0.0896,0.1642
61,pop,Juanes,Cuando El Tiempo Pasa,103.0,0.4466,0.1165,0.0971,0.1553
62,pop,Juanes,Fotografia (feat. Nelly Furtado),53.0,0.5472,0.1887,0.0755,0.2075
63,pop,Juanes,Volverte a ver,85.0,0.4235,0.1647,0.0706,0.1882
64,pop,Juanes,Tu guardián,47.0,0.5957,0.2553,0.0426,0.234
65,pop,Juanes,La Paga,122.0,0.2213,0.1066,0.0164,0.0656
66,pop,Juanes,Fuego,119.0,0.3866,0.1261,0.0672,0.1597
67,pop,Juanes,Colombia Tierra Querida,66.0,0.4242,0.1212,0.0303,0.2121
68,pop,Juanes,Un Día Normal,34.0,0.6471,0.3235,0.0588,0.1471
69,pop,Juanes,Rosario Tijeras,69.0,0.7246,0.2029,0.1159,0.2464
70,pop,Juanes,Gotas de Agua Dulce,141.0,0.3333,0.0851,0.078,0.1277
71,pop,Juanes,Yerbatero,94.0,0.5532,0.1702,0.1277,0.2128
72,pop,Juanes,La Vida es un Ratico,91.0,0.3626,0.1429,0.0769,0.0879
73,pop,Juanes,Las Mujeres (part. Carlos Vives),113.0,0.3805,0.0885,0.0973,0.1593
74,pop,Juanes,Más Que Tu Amigo,66.0,0.5152,0.2121,0.0606,0.197
75,pop,Juanes,Una Flor,121.0,0.2645,0.0992,0.0579,0.0744
76,pop,Juanes,Daria Lo Que Fuera,85.0,0.4941,0.1412,0.0941,0.1529
77,pop,Juanes,Lo Que Me Gusta a Mí,98.0,0.4592,0.102,0.102,0.1633
78,pop,Juanes,Tequila (part. Christian Nodal),78.0,0.6154,0.3333,0.0641,0.141
79,pop,Juanes,Mala Gente,75.0,0.4133,0.16,0.0933,0.12
80,pop,Juanes,Minas Piedras,102.0,0.549,0.1471,0.1176,0.2549
81,pop,Juanes,Odio por amor,104.0,0.375,0.1346,0.0577,0.1442
82,pop,Juanes,Bonita (part. Sebastián Yatra),151.0,0.4172,0.1722,0.0596,0.1258
83,pop,Juanes,Besos En Guerra (part. Morat),142.0,0.3732,0.169,0.0493,0.1268
84,pop,Juanes,Es Tarde,93.0,0.4624,0.2258,0.0215,0.1183
85,pop,Juanes,La Noche,80.0,0.45,0.1125,0.0875,0.125
86,pop,Juanes,Fijate Bien,93.0,0.3978,0.1398,0.0538,0.172
87,pop,Juanes,Himno Nacional de Colombia,36.0,0.6944,0.1389,0.1667,0.3056
88,pop,Juanes,Luna,103.0,0.3398,0.068,0.1068,0.1262
89,pop,Juanes,Amigos,68.0,0.4412,0.1324,0.0882,0.1912
90,pop,Juanes,Más Futuro Que Pasado,100.0,0.57,0.32,0.05,0.18
91,pop,Juanes,Corazón Partío,214.0,0.2991,0.1308,0.0421,0.0748
92,pop,Juanes,Juntos (Together),121.0,0.405,0.157,0.0826,0.1405
93,pop,Juanes,Solo,64.0,0.5781,0.2812,0.0469,0.2031
94,pop,Juanes,La Plata (part. Lalo Ebratt),175.0,0.3943,0.0857,0.0571,0.1429
95,pop,Juanes,Querer Mejor (part. Alessia Cara),96.0,0.5729,0.2396,0.0521,0.2083
96,pop,Juanes,Sueño libertad,47.0,0.7447,0.2128,0.1702,0.3617
97,pop,Juanes,Actitud,104.0,0.4615,0.1346,0.0865,0.2308
98,pop,Juanes,Ámame,115.0,0.3826,0.1478,0.0435,0.0957
99,pop,Juanes,Todo En Mi Vida Eres Tú,85.0,0.5412,0.1059,0.1059,0.2588
100,pop,Morat,Besos En Guerra (part. Juanes),145.0,0.3862,0.1655,0.0483,0.1241
101,pop,Morat,A Dónde Vamos,109.0,0.5046,0.2294,0.055,0.1468
102,pop,Morat,No Se Va,98.0,0.4592,0.1837,0.0612,0.1122
103,pop,Morat,Cuando Nadie Ve,185.0,0.2486,0.1135,0.0324,0.0865
104,pop,Morat,Cuesta Abajo,72.0,0.7917,0.3472,0.0972,0.2639
105,pop,Morat,Cómo Te Atreves,133.0,0.5489,0.2632,0.0677,0.188
106,pop,Morat,Acuérdate de Mí,134.0,0.5075,0.2239,0.0672,0.1418
107,pop,Morat,En Un Solo Día,96.0,0.4167,0.1562,0.0729,0.1458
108,pop,Morat,Otras Se Pierden,145.0,0.4897,0.2483,0.0621,0.1655
109,pop,Morat,23,107.0,0.4206,0.2056,0.0467,0.1308
110,pop,Morat,Debí Suponerlo,89.0,0.5506,0.236,0.0562,0.1236
111,pop,Morat,Aprender a Quererte,96.0,0.5,0.2396,0.0625,0.1667
112,pop,Morat,506 (part. Juanes),88.0,0.5114,0.2273,0.0341,0.2045
113,pop,Morat,Enamórate de Alguien Más,98.0,0.4592,0.2143,0.0918,0.0816
114,pop,Morat,Mi Vida Entera,116.0,0.5345,0.2241,0.0603,0.181
115,pop,Morat,París (part. Duki),79.0,0.6456,0.2785,0.0633,0.2025
116,pop,Morat,Segundos Platos,115.0,0.513,0.2174,0.0783,0.1913
117,pop,Morat,Amor Con Hielo,116.0,0.4828,0.2672,0.0172,0.1293
118,pop,Morat,No Hay Más Que Hablar,137.0,0.4745,0.2263,0.0438,0.1387
119,pop,Morat,Salir Con Vida (part. Feid),128.0,0.6406,0.2656,0.1094,0.1484
120,pop,Morat,Mi Suerte,145.0,0.3379,0.1448,0.0414,0.1172
121,pop,Morat,Punto y Aparte,125.0,0.504,0.224,0.056,0.2
122,pop,Morat,Cuánto Me Duele,124.0,0.3548,0.1613,0.0484,0.0887
123,pop,Morat,Nunca Te Olvidé,118.0,0.4661,0.2458,0.0593,0.1356
124,pop,Morat,Debí Suponerlo (Versión Mariachi) (part. Camila Fernández),89.0,0.5506,0.236,0.0562,0.1236
125,pop,Morat,Causa Perdida,87.0,0.4023,0.2299,0.0575,0.092
126,pop,Morat,Eres Tú,30.0,0.7,0.0,0.2,0.3667
127,pop,Morat,La Correcta (part. Nabález),123.0,0.4309,0.1789,0.0894,0.1463
128,pop,Morat,Mi Nuevo Vicio,147.0,0.4082,0.2381,0.0408,0.1088
129,pop,Morat,Al Aire,105.0,0.4095,0.1905,0.019,0.1429
130,pop,Morat,De Cero,125.0,0.472,0.224,0.056,0.144
131,pop,Morat,Antes de Los 20,110.0,0.4455,0.2091,0.0455,0.1182
132,pop,Morat,Presiento (part. Aitana),170.0,0.2824,0.1118,0.0235,0.1176
133,pop,Morat,Idiota (part. Danna Paola),149.0,0.396,0.2013,0.0268,0.1409
134,pop,Morat,Cuando El Amor Se Escapa,109.0,0.4404,0.2661,0.0642,0.0917
135,pop,Morat,Date La Vuelta,95.0,0.5474,0.2316,0.0842,0.1684
136,pop,Morat,Mil Tormentas,153.0,0.634,0.3203,0.0719,0.2157
137,pop,Morat,23 (part. Mahou),47.0,0.6809,0.3404,0.0851,0.1702
138,pop,Morat,Primeras Veces,84.0,0.4881,0.2262,0.0952,0.1429
139,pop,Morat,Las Cometas Siempre Vuelan En Agosto,105.0,0.781,0.2095,0.1524,0.3238
140,pop,Morat,Parece Que,63.0,0.746,0.3333,0.1905,0.1746
141,pop,Morat,Bajo La Mesa (part. Sebastián Yatra),97.0,0.5567,0.2474,0.0412,0.1856
142,pop,Morat,Llamada Perdida,78.0,0.641,0.3077,0.0897,0.1795
143,pop,Morat,Si Ayer Fuera Hoy,58.0,0.7586,0.1724,0.1379,0.3448
144,pop,Morat,Si La Ves,116.0,0.5603,0.3707,0.0172,0.1293
145,pop,Morat,Maldita Costumbre,130.0,0.3538,0.1154,0.0769,0.1154
146,pop,Morat,11 Besos,53.0,0.6226,0.3019,0.0566,0.283
147,pop,Morat,Celestina,117.0,0.5812,0.2308,0.0598,0.2051
148,pop,Morat,Di Que No Te Vas,99.0,0.5253,0.2828,0.0404,0.1414
149,pop,Morat,Nunca Al Revés,98.0,0.5816,0.3061,0.0714,0.1224
150,pop,Manuel Medrano,La Distancia,55.0,0.6727,0.3455,0.0727,0.1455
151,pop,Manuel Medrano,Bajo El Agua,89.0,0.427,0.1685,0.0562,0.1685
152,pop,Manuel Medrano,Una Y Otra Vez,45.0,0.4,0.2222,0.0444,0.1111
153,pop,Manuel Medrano,Si Pudiera,118.0,0.3729,0.1441,0.0424,0.1525
154,pop,Manuel Medrano,Afuera Del Planeta,83.0,0.3494,0.2048,0.0241,0.1084
155,pop,Manuel Medrano,Donde Nadie Pueda Ir,78.0,0.5,0.2051,0.1154,0.1282
156,pop,Manuel Medrano,Quédate,75.0,0.4533,0.2133,0.08,0.1467
157,pop,Manuel Medrano,Ella Ya Me Olvidó,38.0,0.6842,0.2105,0.0789,0.3684
158,pop,Manuel Medrano,La Primera Vez (part. Juliana),97.0,0.5979,0.2887,0.0619,0.2268
159,pop,Manuel Medrano,La Mujer Que Bota Fuego,134.0,0.3881,0.0821,0.0448,0.209
160,pop,Manuel Medrano,No Sé Si Salga El Sol,79.0,0.6709,0.3291,0.0253,0.1899
161,pop,Manuel Medrano,¿Cómo Hacer Para Olvidarte?,60.0,0.5,0.2833,0.0333,0.15
162,pop,Manuel Medrano,El Swing de La Propuesta,95.0,0.6211,0.3053,0.0632,0.1895
163,pop,Manuel Medrano,Mi Otra Mitad,81.0,0.4691,0.1852,0.0494,0.1605
164,pop,Manuel Medrano,Sin Saber Por Qué,90.0,0.4333,0.1778,0.0444,0.1333
165,pop,Manuel Medrano,Nenita,86.0,0.6977,0.2674,0.0814,0.2326
166,pop,Manuel Medrano,Un Beso De Desayuno,180.0,0.6611,0.1722,0.1056,0.3
167,pop,Manuel Medrano,Yo Sólo Nado Contigo,76.0,0.3421,0.1447,0.0395,0.1579
168,pop,Manuel Medrano,Cuando Te Pensaba,84.0,0.381,0.1786,0.0595,0.1548
169,pop,Manuel Medrano,Buena,119.0,0.4202,0.1513,0.0756,0.1345
170,pop,Manuel Medrano,Hay Una Luz Dentro de Ti,87.0,0.4483,0.1379,0.069,0.1724
171,pop,Manuel Medrano,Así Fue,76.0,0.6579,0.3684,0.1184,0.1184
172,pop,Manuel Medrano,Hace Tiempo,24.0,0.7917,0.5,0.0,0.25
173,pop,Manuel Medrano,Cielo,65.0,0.4308,0.1692,0.0923,0.1692
174,pop,Manuel Medrano,Costumbres,25.0,0.72,0.28,0.16,0.2
175,pop,Manuel Medrano,Guajiro,129.0,0.5891,0.186,0.1163,0.1628
176,pop,Manuel Medrano,Me Gustas,58.0,0.6379,0.3966,0.1034,0.1724
177,pop,Manuel Medrano,A La Orilla,60.0,0.6,0.15,0.05,0.3167
178,pop,Manuel Medrano,Complicidad,104.0,0.625,0.25,0.0769,0.2212
179,pop,Manuel Medrano,Eco (part. Felipe Ospina),90.0,0.3333,0.0889,0.1222,0.1
180,pop,Manuel Medrano,Si Tú No Vuelves,70.0,0.6143,0.2429,0.0857,0.2714
181,pop,Manuel Medrano,La Mala Mujer,139.0,0.4173,0.1583,0.0576,0.1367
182,pop,Manuel Medrano,Quién Fuera,24.0,0.8333,0.0833,0.2083,0.4167
183,pop,Manuel Medrano,Tengo Que Llegar A Tiempo,39.0,0.4359,0.2821,0.0,0.1026
184,pop,Manuel Medrano,La Maza,148.0,0.3919,0.0405,0.1149,0.1824
185,pop,Manuel Medrano,La Muñeca,23.0,0.6957,0.3913,0.087,0.087
186,pop,Manuel Medrano,Navidad Sin Ti,77.0,0.4935,0.1818,0.0909,0.1948
187,pop,Manuel Medrano,Que Bello Es Vivir,188.0,0.4734,0.1702,0.0851,0.1383
188,pop,Manuel Medrano,Vagabundo,87.0,0.5632,0.1264,0.1149,0.2184
189,pop,Camilo,Manos de Tijera,118.0,0.6186,0.2458,0.0763,0.1949
190,pop,Camilo,Por Primera Vez (part. Evaluna Montaner),113.0,0.4336,0.1858,0.0354,0.1239
191,pop,Camilo,5:24,91.0,0.7363,0.2418,0.1429,0.3187
192,pop,Camilo,Vida de Rico,104.0,0.4423,0.1538,0.0385,0.1635
193,pop,Camilo,Tutu (part. Pedro Capó),84.0,0.4643,0.1071,0.0595,0.131
194,pop,Camilo,De Adentro Pa Afuera,72.0,0.6944,0.2083,0.125,0.2639
195,pop,Camilo,El Mismo Aire,112.0,0.4911,0.2232,0.0268,0.1786
196,pop,Camilo,Índigo (part. Evaluna Montaner),93.0,0.6452,0.2366,0.0645,0.2151
197,pop,Camilo,La Mitad (part. Christian Nodal),70.0,0.5429,0.2286,0.0286,0.1857
198,pop,Camilo,Millones,130.0,0.5769,0.1769,0.0769,0.2077
199,pop,Camilo,Favorito,120.0,0.35,0.0667,0.1083,0.0917
200,pop,Camilo,KESI (remix) (part. Shawn Mendes),152.0,0.4803,0.0329,0.0395,0.0592
201,pop,Camilo,Desconocidos (acústico),136.0,0.3971,0.1765,0.0294,0.0956
202,pop,Camilo,Ropa Cara,124.0,0.5,0.1452,0.0806,0.121
203,pop,Camilo,Machu Picchu (part. Evaluna Montaner),169.0,0.2604,0.0828,0.0414,0.0888
204,pop,Camilo,NASA (part. Alejandro Sanz),102.0,0.6471,0.2941,0.0686,0.2255
205,pop,Camilo,BEBÉ (part. El Alfa),122.0,0.5082,0.1639,0.0902,0.1885
206,pop,Camilo,Laura No Está,52.0,0.8077,0.3462,0.0962,0.2885
207,pop,Camilo,Medialuna,73.0,0.6438,0.274,0.137,0.1781
208,pop,Camilo,BEBÊ (part. Gusttavo Lima),275.0,0.4109,0.0473,0.0327,0.0727
209,pop,Camilo,KESI,95.0,0.4316,0.1158,0.1579,0.0947
210,pop,Camilo,No Te Vayas,202.0,0.2772,0.1139,0.0297,0.0644
211,pop,Camilo,Tutu (remix) (part. Shakira y Pedro Capó),83.0,0.5301,0.1446,0.0723,0.1446
212,pop,Camilo,Regálame Tu Corazón,62.0,0.5323,0.2419,0.0645,0.129
213,pop,Camilo,5 pa las 12,93.0,0.3333,0.129,0.043,0.0968
214,pop,Camilo,Cómo Le Digo,89.0,0.5056,0.2022,0.0562,0.1798
215,pop,Camilo,Enamorado de Ti,79.0,0.519,0.1899,0.0633,0.1899
216,pop,Camilo,La Difícil,110.0,0.3273,0.1273,0.0455,0.1
217,pop,Camilo,Aeropuerto,152.0,0.3224,0.1184,0.0592,0.1447
218,pop,Camilo,Alaska (part. Grupo Firme),126.0,0.5,0.1508,0.127,0.127
219,pop,Camilo,Ojalá,103.0,0.5631,0.233,0.0583,0.2136
220,pop,Camilo,Pegao,80.0,0.55,0.0875,0.05,0.2125
221,pop,Camilo,Ambulancia (part. Camila Cabello),125.0,0.536,0.184,0.072,0.2
222,pop,Camilo,Tuyo y Mío (part. Los Dos Carnales),90.0,0.5778,0.2,0.0556,0.2
223,pop,Camilo,El Mismo Aire (part. Pablo Alborán),112.0,0.5,0.2232,0.0357,0.1875
224,pop,Camilo,Pesadilla,154.0,0.3961,0.1948,0.039,0.0714
225,pop,Camilo,Rolex (part. Mau y Ricky),108.0,0.3889,0.1204,0.0556,0.1019
226,pop,Camilo,Un Día Más Sin Verte,81.0,0.7654,0.321,0.0741,0.2222
227,pop,Camilo,Las Flores,55.0,0.8182,0.2909,0.0545,0.3273
228,pop,Camilo,Llegaste a Mí,75.0,0.36,0.1867,0.0133,0.1333
229,pop,Camilo,Si Estoy Contigo,76.0,0.4474,0.1316,0.0395,0.1842
230,pop,Camilo,Aún Me Duele,77.0,0.6623,0.2597,0.1039,0.1688
231,pop,Camilo,Bebiendo Sola (part. Myke Towers),118.0,0.6271,0.2797,0.0932,0.161
232,pop,Camilo,Corazón de Hojalata,90.0,0.5667,0.2778,0.0333,0.1889
233,pop,Camilo,Culpable,62.0,0.4839,0.1613,0.0806,0.1774
234,pop,Camilo,La Gloria de Dios (part. Evaluna Montaner),86.0,0.407,0.1512,0.0698,0.1628
235,pop,Camilo,Tutu (part. Evaluna Montaner),54.0,0.6296,0.1667,0.0741,0.2037
236,pop,Camilo,BEBÉ (Acústico),116.0,0.5259,0.1638,0.0948,0.181
237,pop,Camilo,Buenos Días (part. Wisin y Los Legendarios),170.0,0.5176,0.1765,0.0765,0.1824
238,pop,Camilo,Eco (part. Evaluna Montaner),7.0,0.8571,0.4286,0.1429,0.1429
239,pop,Sebastián Yatra,No Hay Nadie Más,64.0,0.5938,0.2812,0.0469,0.2344
240,pop,Sebastián Yatra,Cómo Mirarte,77.0,0.6234,0.3766,0.026,0.1558
241,pop,Sebastián Yatra,Tacones Rojos,122.0,0.4754,0.2213,0.0574,0.1393
242,pop,Sebastián Yatra,Un Año (part. Reik),114.0,0.4298,0.193,0.0351,0.1316
243,pop,Sebastián Yatra,My Only One (No Hay Nadie Más) (feat. Isabela Merced),256.0,0.4062,0.0234,0.0078,0.0586
244,pop,Sebastián Yatra,VAGABUNDO (part. Manuel Turizo y Beéle),201.0,0.4577,0.1841,0.0547,0.1642
245,pop,Sebastián Yatra,Devuélveme El Corazón,101.0,0.4455,0.2277,0.0396,0.1287
246,pop,Sebastián Yatra,Dos Oruguitas,113.0,0.4248,0.2035,0.0885,0.1416
247,pop,Sebastián Yatra,Cristina,122.0,0.6475,0.2705,0.0574,0.1967
248,pop,Sebastián Yatra,Ojos Marrones (part. Lasso),61.0,0.4918,0.1803,0.082,0.2131
249,pop,Sebastián Yatra,En Guerra (part. Camilo),104.0,0.5192,0.2212,0.0481,0.2019
250,pop,Sebastián Yatra,Pareja Del Año (part. Myke Towers),161.0,0.6149,0.2733,0.0683,0.1925
251,pop,Sebastián Yatra,Alguien Robó (part. Wisin y Nacho),203.0,0.468,0.2118,0.0394,0.133
252,pop,Sebastián Yatra,Por Perro (part. Luis Figueroa y Lary Over),169.0,0.6036,0.2544,0.0414,0.1243
253,pop,Sebastián Yatra,Traicionera,166.0,0.2952,0.1506,0.0482,0.0422
254,pop,Sebastián Yatra,Sutra (part. Dalmata),138.0,0.5507,0.1594,0.0725,0.1739
255,pop,Sebastián Yatra,Mantra,113.0,0.3363,0.177,0.0265,0.0619
256,pop,Sebastián Yatra,Contigo (part. Pablo Alborán),95.0,0.6526,0.3579,0.0421,0.1263
257,pop,Sebastián Yatra,Quererte Bonito (part. Elena Rose),70.0,0.6857,0.2857,0.1143,0.1857
258,pop,Sebastián Yatra,Chica Ideal (part. Guaynaa),206.0,0.4515,0.1165,0.0534,0.0777
259,pop,Sebastián Yatra,Quiero Decirte,104.0,0.3558,0.1731,0.0577,0.0865
260,pop,Sebastián Yatra,Traicionera (remix),183.0,0.4481,0.1913,0.0601,0.0874
261,pop,Sebastián Yatra,Ya No Tiene Novio (part. Mau y Ricky),176.0,0.2898,0.1307,0.0341,0.0682
262,pop,Sebastián Yatra,Falta Amor (part. Ricky Martin),111.0,0.5405,0.3153,0.0631,0.1081
263,pop,Sebastián Yatra,Tacones Rojos (part. John Legend),265.0,0.3472,0.0151,0.0151,0.0491
264,pop,Sebastián Yatra,Melancólicos Anónimos,195.0,0.6821,0.2872,0.0923,0.1897
265,pop,Sebastián Yatra,Como Si Nada (part. Cali),142.0,0.6972,0.3521,0.1127,0.2042
266,pop,Sebastián Yatra,Nervous (Remix) (part. John Legend),271.0,0.4317,0.0701,0.0258,0.0738
267,pop,Sebastián Yatra,Dharma (part. Jorge Celedón y Rosario),126.0,0.5,0.2143,0.0397,0.1587
268,pop,Sebastián Yatra,Fantasía,90.0,0.6,0.3333,0.0778,0.1222
269,pop,Sebastián Yatra,Me Estoy Enamorando (part. La Mafia),62.0,0.4839,0.2258,0.0323,0.0968
270,pop,Sebastián Yatra,"Runaway (feat. Jonas Brothers, Natti Natasha &amp; Daddy Yankee)",250.0,0.544,0.128,0.08,0.152
271,pop,Sebastián Yatra,TBT (part. Rauw Alejandro y Manuel Turizo),174.0,0.4483,0.2011,0.0287,0.069
272,pop,Sebastián Yatra,Adiós,99.0,0.5152,0.3434,0.0303,0.1111
273,pop,Sebastián Yatra,Una Noche Sin Pensar,96.0,0.5208,0.25,0.0729,0.1354
274,pop,Sebastián Yatra,Vuelve (part. Beret),163.0,0.5276,0.2945,0.0552,0.135
275,pop,Sebastián Yatra,Robarte Un Beso,147.0,0.3061,0.1565,0.0408,0.0952
276,pop,Sebastián Yatra,Til You're Home (feat. Rita Wilson),181.0,0.4475,0.011,0.0,0.0497
277,pop,Sebastián Yatra,Yo Te Extraño,79.0,0.5696,0.1899,0.1013,0.2152
278,pop,Sebastián Yatra,Aquí Estaré,71.0,0.5352,0.2817,0.0282,0.1408
279,pop,Sebastián Yatra,Elena,90.0,0.8,0.3222,0.0667,0.2444
280,pop,Sebastián Yatra,No Sé Vivir Sin Ti,39.0,0.8205,0.359,0.0769,0.2308
281,pop,Sebastián Yatra,Oye (part. TINI),86.0,0.7209,0.3256,0.0698,0.2674
282,pop,Sebastián Yatra,A Partir de Hoy (part. David Bisbal),111.0,0.4234,0.2432,0.0541,0.0901
283,pop,Sebastián Yatra,Amor Pasajero,103.0,0.5049,0.2136,0.0485,0.1553
284,pop,Sebastián Yatra,Falta Amor,112.0,0.5446,0.3125,0.0625,0.1161
285,pop,Sebastián Yatra,Por Fin Te Encontré (part. Juan Magán y Cali Y El Dandee),191.0,0.3822,0.1257,0.0366,0.0838
286,pop,Sebastián Yatra,TV,116.0,0.5345,0.2069,0.069,0.1207
287,pop,Sebastián Yatra,Corazón Sin Vida (part. Aitana),113.0,0.4513,0.2301,0.0354,0.1504
288,pop,Sebastián Yatra,Las Dudas (part. Aitana),106.0,0.5849,0.2547,0.066,0.2075
289,pop,Reik,Ya Me Enteré,65.0,0.5538,0.2154,0.1538,0.0923
290,pop,Reik,Sabes,73.0,0.4932,0.2603,0.0685,0.1233
291,pop,Reik,Creo En Ti,56.0,0.7857,0.2321,0.125,0.3571
292,pop,Reik,Yo Quisiera,81.0,0.5556,0.1605,0.1358,0.1852
293,pop,Reik,Noviembre Sin Ti,82.0,0.5366,0.2683,0.0854,0.1707
294,pop,Reik,Pero Te Conocí,63.0,0.5079,0.2381,0.0317,0.1587
295,pop,Reik,Te Fuiste de Aquí,99.0,0.5152,0.2222,0.0505,0.1515
296,pop,Reik,Inolvidable,80.0,0.55,0.275,0.0875,0.125
297,pop,Reik,"A Un Paso De La Luna (part. Rocco Hunt, Ana Mena)",144.0,0.5972,0.25,0.0694,0.1667
298,pop,Reik,Me Niego (part. Wisin y Ozuna),181.0,0.5414,0.2541,0.0829,0.1492
